ID,modelling_mask,prediction_mask,Mean_LST,NDVI,Build_ANN12,Build_ANN23,Build_ANN34,Build,dist_centre,dist_water,eastness,elevation,glass,Hard_ANN12,Hard_ANN23,Hard_ANN34,hard,mixed,Nat_ANN12,Nat_ANN23,Nat_ANN34,nat,northness,slope
59481,1,1,14.25270593,0.789445907,8.168511391,13.39933014,13.32951546,0,3437.141113,1779.576416,-0.920894206,14.06139088,0,8.435383797,17.37108612,21.85845375,0,0,65.92984009,34.77868271,27.41449547,100,0.389812589,0.692697108
9672,1,1,15.17191696,0.829214185,0,1.72777772,1.710233688,0,4382.026367,2345.392334,0.999598682,17.48844719,0,0,1.249950767,2.233541489,0,0,100,97.0222702,96.05622864,100,-0.02832783,2.568996668
35321,1,1,17.01745141,0.266648829,0,0.872516453,0.842532933,0,3154.362305,900.2263184,0.741422176,5.743326187,0,0,5.407914639,15.91903877,0,0,100,93.71956635,83.23842621,100,-0.671038687,0.468108654
37703,1,1,17.77482486,0.632910237,22.56178856,18.75906563,13.81124592,13.76884365,4069.757568,2875.248779,0.844548106,40.09165955,0,32.89043808,35.62696457,29.78057098,27.83919716,19.89949799,11.67624855,12.86225224,29.02591324,38.49246597,0.535479724,2.879403591
63931,1,1,18.31685781,0.485697687,19.64635658,16.8365593,13.68701172,11.66666698,2083.310303,1020.25647,0.881910026,49.88869476,0,20.87806511,18.3740921,19.65925789,27.88888741,60.44444275,5.658787727,6.043944359,17.1570282,0,-0.471417904,5.566956997
47970,1,1,16.86167979,0.585048467,6.401600838,4.41889286,8.88259697,1.888888836,3209.124023,2679.255371,0.265365005,40.18190002,0,44.97717667,46.39770889,35.09156036,23.44444466,56,25.68064499,36.90104675,42.40714645,18.66666603,-0.964147985,1.023376584
66108,1,1,18.08522248,0.516356446,13.52915668,11.93959332,13.70114231,27.33333397,3311.859619,2214.263916,0.566275001,71.96914673,0,23.17831039,26.14398384,21.42195892,22.11111069,42.22222137,3.503112078,7.334622383,12.97443199,0,-0.824216425,5.753293514
47439,0,1,18.76538491,0.369651824,5.018518448,16.16638374,17.3518734,0,6142.977539,276.6558838,-0.863243103,8.660824776,0,71.53316498,60.46076584,61.6122818,75.66666412,0,23.44831467,22.55950165,19.51732445,24.33333397,-0.504788518,0.905928314
61987,1,1,17.94755983,0.60260804,15.94932652,16.14436722,14.48838139,22.55555534,5070.120605,873.8328857,-0.984076023,8.677398682,0,18.23990631,13.04175377,23.8172493,22.66666794,29.44444466,15.17274284,17.41952133,20.05053139,25.33333206,-0.177748099,0.348944753
78132,1,1,15.24527681,0.735141426,1.861080289,3.707180977,1.157407403,0,5371.685547,3950.296875,-0.960205615,42.46630096,0,10.40770721,15.75740337,17.60746765,0,0,87.7312088,80.53541565,79.80457306,100,-0.279294401,0.718099177
36107,1,1,14.24473345,0.80966045,2.963767767,7.43390274,7.444444656,0,2370.785889,1148.940186,0.758864701,34.63123322,0,11.5854311,13.58059883,11.50428009,0,0,75.02362061,54.07363129,49.94016266,100,0.651248276,6.322088242
109692,1,1,14.79445183,0.481235199,0,0,0,0,5043.499512,2357.072998,-0.608053386,42.26671982,0,0,0,1.870370269,0,0,100,100,98.12963104,100,-0.793896079,0.916064441
115888,1,1,13.84249485,0.702153102,1.04051578,4.64068985,4.824074268,0,3845.768555,150.0377197,0.654439807,4.300214291,0,19.68483353,22.12932205,21.64699936,10.53677845,0,79.27465057,73.2299881,73.52892303,89.46321869,0.756114125,1.016754866
43503,1,1,14.25351703,0.770299539,0,0,0,0,4485.099121,2790.862793,-0.219860807,28.98625565,0,18.74477386,25.41257668,20.79037285,0,0,81.25522614,74.58742523,79.20962524,100,0.97553128,3.866161585
1726,1,1,13.01244938,0.819035679,0,0,0,0,8194.038086,3260.758301,0.59788388,11.91075039,0,3.435185194,1.400000095,1.236111164,0,0,96.56481171,98.59999847,98.7638855,100,-0.801582813,0.098994926
117700,1,1,16.42217803,0.608054146,11.92592621,13.5666666,11.17075729,0,3521.126709,313.2879639,0.077339642,8.927232742,0,23.16666794,18.18333435,15.329319,25.22222137,0.444444448,31.86111069,31.26666641,36.91793823,74.33333588,-0.997004807,6.34790802
13574,1,1,14.80420935,0.790349737,0,0,0,0,4915.470215,2629.215576,0.28360039,11.76527119,0,0,0,0,0,0,100,100,100,100,-0.958942473,0.522669494
133656,1,1,13.07371795,0.73374784,0,0,0,0,8365.864258,3115.297607,0.535033226,32.99957657,0,0,0,0,0,0,100,100,100,100,-0.84483099,3.53099823
21981,1,1,15.34699607,0.636059433,8.481481552,12.33964252,13.57174683,19.33333206,3530.193359,2591.790283,-0.940734327,78.27516174,0,16.24400711,9.81564045,11.69372749,0,80.66666412,4.120463371,2.622852564,4.797337532,0,-0.339144588,4.392431259
75528,1,1,16.36689162,0.563184649,14.20306587,13.02833557,15.19313145,20.46718597,4099.62793,2730.851318,0.633274317,77.07847595,0,15.80474472,20.3525753,25.88443184,21.0233593,33.92658615,9.638082504,13.01668739,21.47284508,24.58287048,-0.773927391,1.83330071
